Sentence,Polarity,Subjectivity
Text,0.0,0.0
 # UNHRC application # SupremeCourt minces words criticising # CAA . The plea says # CAA puts Muslim migrants risk & amp ; law issues reasonableness & amp ; objectivity . It also says # CAA may sync India 's commitment international covenants . https : //t.co/Y9FfiVE77w,0.0,0.0
" In India : Illegal Bangladeshi infiltrators protesting CAA . Recently 2 Bangladeshis arrested involvement Delhi 's Seemapuri violence . In Bangladesh : Today , Bangladesh security shot dead 8 Rohingyas near refugee camp allegedly involved drug & amp ; human trafficking",-0.11666666666666665,0.2916666666666667
 Meet Mr. Devkinandan Thakur . He 's staunch supporter # CAA help Hindu women escape sexual abuse Pakistan Bangladesh . Today booked sexually abusing woman along 6 others . Did I mention gives discourses Hindu religion ? https : //t.co/ghLfDaAPfi,0.5,0.8333333333333334
 @ sonamakapoor @ BazaarArabia In Pakistan H ! ndus Second Class Citizens ... Where Jhdis abduct H ! ndu girls get converted That 's CAA https : //t.co/AebR6BYIF8,0.0,0.0
 RT @ LiveLawIndia : UN High Commissioner Human Rights files intervention application India 's Supreme Court CAA ; MEA says is…,0.08,0.31999999999999995
" Likely Start Issuing NRC Rejection Slips From March 20 , Says Assam Government https : //t.co/KdtldIrvbq via @ thewire_in",0.0,1.0
" Cherry picking information koi inse sikhe 🙄 CAA poorly put together rest world fooled , given t… https : //t.co/ncyXwgbEBh",-0.4,0.6
 @ nrc So silly THE GREEN PARTIES cant waite vote next year must open bfc eyes see 's r… https : //t.co/ffWeTsUW5h,-0.175,0.41875
 United Nations Buisness approach Indian Supreme Court challenge Law made Indian Parliment . This shows motivated foreign Lobby CAA . Govt register strong objection & amp ; hopefully SC dismiss heavy costs,0.036111111111111094,0.4527777777777778
" Yesterday @ orfevents @ hinducollege I asked dangers frm recent domestic actions govt- 370 , Kashmir , CAA etc foreign policy . My response : internationalisation unprecedented scale , ties neighbours like Bangladesh & amp ; others , propaganda intl terror groups https : //t.co/amNBVfW0Xz",0.075,0.29500000000000004
 Who would Men 's # CAAHoops All-CAA Second Team ? Here 's Insider @ eamonnbrennan would ⬇️ The Men 's # CAAHoops post-season honors announced Friday Noon https : //t.co/WidZjeHld7,0.0,0.0
" We must rightly condemn violence hear plainly see evidence directed towards peaceful Hindu community- muslim school terrace . So International Media ? Cowering , ’ . Spineless insipid anti Hindu propagandists . 🥊 https : //t.co/pQIe6rGU7C",0.08035714285714285,0.3482142857142857
 # DelhiRiotTruth : Muslim school terrace used target # Hindus Bricks 🧱 Petrol Bombs . Who # AntiHindu planning name # CAA ? Is conspiracy political parties appease particular community ? # BritishHindus condemn # DelhiGenocide2020 https : //t.co/UboHVFjzzd,0.08333333333333333,0.21666666666666667
 Imagine THIS man HC get FIRs done people hate speech . THIS MAN - says neither Parliament Nor Supreme Court decide CAA decide streets . This man given midnight hearing judge . Imagine . https : //t.co/B4L68i1VoQ,-0.8,0.9
 RT @ desimojito : How got crowd anti CAA protests https : //t.co/66b3vxuadP,0.0,0.0
" UN Human Rights Chief Moves Intervene Over CAA SC , India Objects @ UN 's @ mbachelet : “ Police inaction face attacks Muslims groups , well previous reports excessive use force police peaceful protesters ” https : //t.co/Wz54RwtDTB",-0.04166666666666666,0.44166666666666665
" Unprecedented internationalisation Indian law @ mbachelet @ OHCHRAsia , petition says `` The High Commissioner seeks intervene , virtue mandate protect promote human rights ... established pursuant United Nations General Assembly resolution 48/141",0.2025,0.51
" RT @ RatanSharda55 : Though I would n't call idiot , hypocrite , side kick Nehru dynasty",-0.8,0.8
" # Exposed Here Ultra-Left Activist Harsh Mandar instigating Anti-CAA Protesters spewing venom Supreme Court India , clearly asking protesters believe highest institution judiciary . https : //t.co/nxRmkIxiav",-0.049999999999999996,0.5416666666666666
 My piece leadership crisis Congress consequence future India “ Missing Rahul Delhi ” https : //t.co/Ev8QaFrENW via @ IndianExpress,-0.1,0.0875
" Breaking : UN High Commissioner Human Rights files Intervention Application Supreme Court India CAA . @ MEAIndia says CAA internal matter. , `` foreign party locus standi issues pertaining India ’ sovereignty . ''",0.00875,0.19124999999999998
