Created At,Text,Location
Fri Mar 06 23:03:11 +0000 2020," RT @ IntrepidSaffron : Modi Ji take CAA Triple Talaq , Must watch 🔥🔥🔥 https : //t.co/jiYvcKqSJn","California, USA"
Fri Mar 06 23:03:22 +0000 2020, @ ImtiazMadmood @ Sunnymitra9 Change name CAA Persecuted Refugees Act ( PRA ),
Fri Mar 06 23:03:32 +0000 2020," India n't need detention camps openly punishing killing Muslims streets houses . UP CM putting hoardings public places officially called violence . In UP law , court , judge & amp ; justice . https : //t.co/AP6yFXSQ5i",
Fri Mar 06 23:03:33 +0000 2020, RT @ DavidHenigUK : The Civil Aviation Authority opposed leaving EU Aviation Safety Agency - https : //t.co/MrPeI4kD7e https : //t.co/Kk6Vi7t…,
Fri Mar 06 23:03:34 +0000 2020," International Criticism CAA-NRC Delhi Riots 👉 In British Parliament 👉 In European Parliament 👉 United Nations Human Rights Chief complains Supreme Court 👉 USA Congress research wing criticized 👉 PM Turkey , Supreme Leader Iran condemned Modi Govt",
Fri Mar 06 23:03:39 +0000 2020," This brave British Lady UK Parliament voices persecution minorities Pakistan , Bangladesh & amp ; Supports CAA Is UN trying meddle India 's internal matters keeping silent Pakistan 's rising atrocities ? # UNRejectsCAA # WomensDay # InternationalWomensDay https : //t.co/lFPsQXYLdJ",
Fri Mar 06 23:03:41 +0000 2020, RT @ radiotarang : They ca n't even tell full form CAA NRC NPR . See level brainwashing hatred towards GOI . https : //t.co/6Gs7…,Bangalore
Fri Mar 06 23:03:43 +0000 2020, What last date apply citizenship CAA ? Will citizenship given even 5 years cla… https : //t.co/ytXeEDnxLE,"kakinada,andhra pradesh"
Fri Mar 06 23:03:49 +0000 2020," We salute comrades Punjab blocking Bathinda-Rajpura railway line protest draconian laws CAA , NRC NPR ! Together fight India without communal violence , coexist peace harmony . # IndiaAgainstCAA_NRC_NPR # SecularIndia https : //t.co/dsKbfw0Kq5","London, England"
Fri Mar 06 23:03:59 +0000 2020, @ asc89 @ omarali50 @ AmericanIndic @ BurntOutCase @ leninrahman @ Parikramah @ LockOmoplata @ abhaynair14 @ sourabh_hod… https : //t.co/d4Cs3ByekS,
Fri Mar 06 23:03:59 +0000 2020," RT @ SalmanNizami_ : Thank UN ; CAA communal , CAA anti- Constitution , CAA anti- democracy , CAA anti- India . # UNRejectsCAA http…",
Fri Mar 06 23:04:20 +0000 2020," After watching video , still oppose CAA , barbaric ! This Hindu Pakistan narrates left acres land & amp ; fled India ! https : //t.co/xVHlN3iKhh","Bengaluru, India"
Fri Mar 06 23:04:22 +0000 2020," With news zayn signed contract CAA , I made art celebrate . Hope like . 🔥🦅 @ zaynmalik @ caaspeakers RT/ Like Comment # ZaynIsComing https : //t.co/U2cmiPRGYe",
Fri Mar 06 23:04:24 +0000 2020," RT @ PoliticalKida : Modi Ji explaining reality people opposing Triple Talaq , CAA , NRC . Must watch & amp ; Share ! https : //t.co/IcKQ9GN08O",
Fri Mar 06 23:04:36 +0000 2020, RT @ billboard : CAA announced signing # Zayn https : //t.co/uZJs8YG3Xi,multi | LA 🇲🇽🏳️‍🌈
Fri Mar 06 23:04:38 +0000 2020," Foreign Hand Delhi riots . Jan24th , George Soros slams Modi Govt , pledges $ 1 billion 2 fight Nationalism . Feb 24th , Anti CAA riots erupt East Delhi . Harsh Mander , issued call hit streets board member Soros owned 'Open Society Foundations ' . Still doubt ?",India
