,Created At,Text,Location,Address,Longitude,Latitude
0,Created At,Text,Location,"Location, Tucker County, West Virginia, United States of America",-79.6371124,39.2138905
2,Thu Mar 05 17:42:31 +0000 2020, Many leaders making varied statements # CAA threatening implemented Maharashtra . We want discussion Legislative Assembly want know official stand State Government CAA @ Dev_Fadnavis https : //t.co/ZnKa1sIImh,Mumbai,"Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
3,Thu Mar 05 17:42:33 +0000 2020," Sets dangerous precedent . Apart unwarranted intrusion Executive 's domain . Visa NOT right , issue 'Fundamental Right ' . Visa issued subject rules . If FRO determined Polish student violated , Judiciary review .",Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",77.2219388,28.6517178
6,Thu Mar 05 17:42:36 +0000 2020," A weeks ago , news European Parliament wants `` discuss '' India 's CAA amendment 2019 . Did n't work . Today , news European Union giving Greece , $ 780 million keep migrants away Europe ! Cont 'd ...","Dubai, United Arab Emirates","دبي, دبي‎, 24857, United Arab Emirates",55.1713,25.0657
8,Thu Mar 05 17:42:37 +0000 2020, @ vijaita What 's wrong CAA ... ALL THREE NEIGHBOURING COUNTRIES PAK AFGHAN AND BANGLA ARE ISLAMIC COUNTRY AND MUSLI… https : //t.co/cQShmUhxbX,"Nanded, India","Nanded, Maharashtra, India",77.48319215130235,19.09400875
11,Thu Mar 05 17:42:38 +0000 2020," Muslims India allowed go masjids offering prayers .India launched # CAA Which totally inhuman law , sending Muslims detention centers convert Hindus . # IndianMuslimsInDanger",pakistan,پاکستان,71.247499,30.3308401
12,Thu Mar 05 17:42:41 +0000 2020, The Shaheen Bagh protest proved Islamist agenda nation day Jihadi goons murdered Ankit Sharma Ratan Lal . It never protest CAA NRC . It anti India protest backed Radical Islamic Groups . # ShaheenBaghEmpty https : //t.co/Ap2zM4y15M,"Hyderabad, Chennai, Bangalore","Ancient Hyderabad, Outer Ring Road, Nagavara, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, 560045, India",77.6197195,13.040834
13,Thu Mar 05 17:42:45 +0000 2020, Anti CAA protest meeting reportedly organized DMK MLA Meiyanathan inside Sidhdhi Vinayak temple @ Alangudi Pudhukkottai dist . Devotional songs stopped per instructions Muslim speakers participated . Who permitted Muslims use Hindu temple venue Anti CAA meet ? https : //t.co/eOjVWUGGAS,Bharat (भारत) ,India,78.6677428,22.3511148
14,Thu Mar 05 17:42:45 +0000 2020," On asked repeatedly finds objectionable CAA , man replies : There might something 's problematic , otherwise many streets protesting . OPEN YOUR EYES . ( clip courtesy @ LOLiyapa ) https : //t.co/WV3x70VxMd",Swadesh,"Swadesh, 100, Portland Street, Chinatown, City Centre, Manchester, Greater Manchester, North West England, England, M1 4GX, United Kingdom",-2.2411184,53.4771203
16,Thu Mar 05 17:42:46 +0000 2020, Many leaders making varied statements # CAA threatening implemented Maharashtra . We want discussion Legislative Assembly want know official stand State Government CAA @ Dev_Fadnavis https : //t.co/tSIc8d8VM8,Mumbai,"Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
17,Thu Mar 05 17:42:46 +0000 2020, He amongst top lawyers in🌍 & amp ; Constitutional expert-a staunch nationalist made Pak bite dust ICJ defending Kulbhushan Jadhav & amp ; purely love for🇮🇳 w/o ₹ He aligned party-see wt Harish Salve ji says abt CAA : ITS NECESSARY https : //t.co/VzDcGdidMn,Delhi / Pune,"Delhi Public School, Nyati Estate Road, Holkarwadi, Haveli, Pune District, Maharashtra, 411060, India",73.92379580672986,18.4656626
19,Thu Mar 05 17:42:49 +0000 2020," Police n't file FIR Kapil Mishra says Goli Maro , wants charge Harsh Mander , campaigning hate ! Watch entire speech says fight divisive NRC must win love & amp ; brotherhood https : //t.co/rn54bLhLs8",kolkata,"Kolkata, West Bengal, India",88.3567751581234,22.54541245
21,Thu Mar 05 17:42:53 +0000 2020," Jihadi outfit Al-Haq threatened kidnap 234 Tamil Nadu MLAs CAA , NPR & amp ; NRC gets implemented ! Till date saw Congress & amp ; gang opposed CAA , Now even terrorist organizations opposing ! Dear Hindu , understand Congress always favoured terrorists ?",India,India,78.6677428,22.3511148
23,Thu Mar 05 17:42:54 +0000 2020," *BREAKING NEWS : * CAA , NRC PROPOSAL TO BE WITHDRAWN FROM March 5 , 2020 . Read special message protesters Amit Shah : https : //t.co/A45kE4Y147",India,India,78.6677428,22.3511148
24,Thu Mar 05 17:42:55 +0000 2020, Addressing August gathering Lawyers & amp ; intellectuals Hyderabad event organised @ BJP4Telangana # CAA Thanks President BJP Telangana Sh @ drlaxmanbjp Ji & amp ; MLC Sh @ RaoMlc Ji https : //t.co/GJIJns1oXY,Hyderabad.,"Hyderabad, Telangana, India",78.46106473453146,17.38878595
25,Thu Mar 05 17:42:56 +0000 2020, Yet another clipped video social activist Harsh Mander viral falsely portray instigated violence anti-CAA protests . Read # AltNewsFactCheck . | @ Pooja_Chaudhuri https : //t.co/ThKGFQhWFp,India,India,78.6677428,22.3511148
26,Thu Mar 05 17:42:56 +0000 2020," 1 . National Pulse : 8,21,473 users . We included users logged least 3 times month Feb establish seriousness engagement app . Do support CAA ? Yes : 29 % No : 68 % Do n't Know : 3 %",Middle East & Africa,"Africa Court, Willaston, Douglas, Middle, United Kingdom",-4.4849548,54.1587944
28,Thu Mar 05 17:42:59 +0000 2020, @ ndtv Cz Citizen default . He born 1954 . These RTI morons realize NRC happen . Suc… https : //t.co/TaLnmRHEvI,Bharat,India,78.6677428,22.3511148
31,Thu Mar 05 17:43:04 +0000 2020, RT @ OpIndia_com : Meet Harsh Mander : The ‘ PIL Activist ’ always manages land wrong side Indian interests https : //t.…,shahjahanpur up,"Shahjahanpur, Uttar Pradesh, India",79.74656294869826,27.912633149999998
33,Thu Mar 05 17:43:08 +0000 2020, Encephalitis fallen 90 % since BJP came power UP . Crime massively . Infra huge focus . And way YA stomped anti-CAA protest solidified position . One aspect needs looked cattle destroying crops . @ myogiadityanath,"Tiruppur, India","Tiruppur, Tamil Nadu, India",77.52604780096844,10.78322705
38,Thu Mar 05 17:43:14 +0000 2020," While Ravish Kumar tried Creating panic stoking fire name CAA NRC , 's PM Modi exposed hypocrisy Rubbish Kumar Urban Naxals Detention Centres These journalists paid pipers ! # RubbishKumar # RavishKumar https : //t.co/W718na4fsO","Bengaluru, Karnataka","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",77.5912997,12.9791198
39,Thu Mar 05 17:43:15 +0000 2020," Why many arguments CAA unconstitutional ’ hold water , writes Harish Salve , Senior Advocate , Supreme Court . https : //t.co/hUiksAqd8x https : //t.co/rjmFd2TV2x","Mumbai, India","Mumbai, Mumbai City, Maharashtra, India",72.8353355,18.9387711
40,Thu Mar 05 17:43:16 +0000 2020," As protests new citizenship law sweep country , signs authorities condoning even inst… https : //t.co/T8LTQsY7fN","Dhaka, Bangladesh","ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 12, Bangladesh",90.3788136,23.7593572
