Created At,Text,Location,Address,Longitude,Latitude,Polarity,Icon
Tue Mar 03 21:08:23 +0000 2020, # UNHRC application # SupremeCourt minces words criticising # CAA . The plea says # CAA puts Muslim migrants risk & amp ; law issues reasonableness & amp ; objectivity . It also says # CAA may sync India 's commitment international covenants . https : //t.co/Y9FfiVE77w,"Solapur, India","Solapur, Maharashtra, India",75.27632027348456,17.84990665,0.0,Blue
Tue Mar 03 21:08:24 +0000 2020," In India : Illegal Bangladeshi infiltrators protesting CAA . Recently 2 Bangladeshis arrested involvement Delhi 's Seemapuri violence . In Bangladesh : Today , Bangladesh security shot dead 8 Rohingyas near refugee camp allegedly involved drug & amp ; human trafficking","Bengaluru, India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",77.5912997,12.979119800000001,-0.11666666666666665,Red
Tue Mar 03 21:08:41 +0000 2020," Yesterday @ orfevents @ hinducollege I asked dangers frm recent domestic actions govt- 370 , Kashmir , CAA etc foreign policy . My response : internationalisation unprecedented scale , ties neighbours like Bangladesh & amp ; others , propaganda intl terror groups https : //t.co/amNBVfW0Xz","Solapur, India","Solapur, Maharashtra, India",75.27632027348456,17.84990665,0.075,Green
Tue Mar 03 21:08:46 +0000 2020, # DelhiRiotTruth : Muslim school terrace used target # Hindus Bricks 🧱 Petrol Bombs . Who # AntiHindu planning name # CAA ? Is conspiracy political parties appease particular community ? # BritishHindus condemn # DelhiGenocide2020 https : //t.co/UboHVFjzzd,"Wales, United Kingdom","Wales, United Kingdom",-3.7389300000000003,52.2928116,0.08333333333333333,Green
Tue Mar 03 21:08:47 +0000 2020, Imagine THIS man HC get FIRs done people hate speech . THIS MAN - says neither Parliament Nor Supreme Court decide CAA decide streets . This man given midnight hearing judge . Imagine . https : //t.co/B4L68i1VoQ,New Delhi,"New Delhi, Delhi, India",77.2022662,28.6141793,-0.8,Red
Tue Mar 03 21:08:53 +0000 2020," UN Human Rights Chief Moves Intervene Over CAA SC , India Objects @ UN 's @ mbachelet : “ Police inaction face attacks Muslims groups , well previous reports excessive use force police peaceful protesters ” https : //t.co/Wz54RwtDTB","Potiskum, Nigeria","Potiskum, Yobe, Nigeria",11.0762744,11.7122553,-0.04166666666666666,Red
Tue Mar 03 21:08:57 +0000 2020," Unprecedented internationalisation Indian law @ mbachelet @ OHCHRAsia , petition says `` The High Commissioner seeks intervene , virtue mandate protect promote human rights ... established pursuant United Nations General Assembly resolution 48/141","Solapur, India","Solapur, Maharashtra, India",75.27632027348456,17.84990665,0.2025,Green
Tue Mar 03 21:08:59 +0000 2020," RT @ RatanSharda55 : Though I would n't call idiot , hypocrite , side kick Nehru dynasty","Dehradun, India","Dehradun, Uttarakhand, 248001, India",78.0436813,30.3255646,-0.8,Red
Tue Mar 03 21:08:59 +0000 2020," # Exposed Here Ultra-Left Activist Harsh Mandar instigating Anti-CAA Protesters spewing venom Supreme Court India , clearly asking protesters believe highest institution judiciary . https : //t.co/nxRmkIxiav",BIHARSHARIF,"Sadar Hospital Biharsharif, MDR, Bihar Sharif, Bihar, Nalanda, Bihar, 803101, India",85.5146116,25.205305199999998,-0.049999999999999996,Red
Tue Mar 03 21:09:01 +0000 2020, My piece leadership crisis Congress consequence future India “ Missing Rahul Delhi ” https : //t.co/Ev8QaFrENW via @ IndianExpress,"Washington, D.C.","Washington, District of Columbia, 20500, United States of America",-77.0365529,38.894893200000006,-0.1,Red
Tue Mar 03 21:09:03 +0000 2020," Breaking : UN High Commissioner Human Rights files Intervention Application Supreme Court India CAA . @ MEAIndia says CAA internal matter. , `` foreign party locus standi issues pertaining India ’ sovereignty . ''","Solapur, India","Solapur, Maharashtra, India",75.27632027348456,17.84990665,0.00875,Green
Tue Mar 03 21:09:07 +0000 2020," A law discriminates minorities & amp ; NRC threatens render millions Stateless , put detention centres certainly matter UN High Commissioner Human rights intervene","New Delhi, India","New Delhi, Delhi, India",77.2022662,28.6141793,0.12476190476190475,Green
Tue Mar 03 21:09:13 +0000 2020, RT @ Brahmeme : This treat women . They beat women 's name CAA monster sale https : //t.co/9OW6pMNJFS,India,India,78.6677428,22.3511148,0.0,Blue
Tue Mar 03 21:09:14 +0000 2020," US pulled @ UN_HRC calling `` cess pool bias '' . Now , intervening ongoing case CAA India lived description . UNHRC first intervene Iran , Pak , China preach India .",new delhi,"New Delhi, Delhi, India",77.2022662,28.6141793,0.25,Green
Tue Mar 03 21:09:18 +0000 2020, RT @ NetajiBond : This tje bring crowd Anti CAA protests . https : //t.co/ikEAdkT5Rw,India,India,78.6677428,22.3511148,0.0,Blue
Tue Mar 03 21:09:22 +0000 2020," UN High Commissioner Human Rights files intervention plea Supreme Court Citizenship Bill , India protests . https : //t.co/Q9gppfWpGY",Sydney Australia ,"Sydney, Australia",151.2164539,-33.8548157,0.08,Green
